Postulante 233,ORDINARIO,2.505,NO ALCANZÓ VACANTE,FAUA
Postulante 234,ORDINARIO,3.926,NO ALCANZÓ VACANTE,FAUA
Postulante 235,EXTRAORDINARIO 1 - DOS PRIMEROS ALUMNOS,8.458,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 236,ORDINARIO,7.916,NO ALCANZÓ VACANTE,FAUA
Postulante 237,ORDINARIO,11.571,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 238,ORDINARIO,4.841,NO ALCANZÓ VACANTE,FAUA
Postulante 239,ORDINARIO,7.171,NO ALCANZÓ VACANTE,FAUA
Postulante 240,ORDINARIO,6.804,NO ALCANZÓ VACANTE,FAUA
Postulante 241,ORDINARIO,6.308,NO ALCANZÓ VACANTE,FAUA
Postulante 242,ORDINARIO,4.483,NO ALCANZÓ VACANTE,FAUA
Postulante 243,ORDINARIO,5.624,NO ALCANZÓ VACANTE,FAUA
Postulante 244,ORDINARIO,4.703,NO ALCANZÓ VACANTE,FAUA
Postulante 245,ORDINARIO,8.969,NO ALCANZÓ VACANTE,FAUA
Postulante 246,ORDINARIO,8.295,NO ALCANZÓ VACANTE,FAUA
Postulante 247,ORDINARIO,10.267,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 248,ORDINARIO,7.040,NO ALCANZÓ VACANTE,FAUA
Postulante 249,ORDINARIO,3.909,NO ALCANZÓ VACANTE,FAUA
Postulante 250,ORDINARIO,5.191,NO ALCANZÓ VACANTE,FAUA
Postulante 251,ORDINARIO,8.565,NO ALCANZÓ VACANTE,FAUA
Postulante 252,ORDINARIO,7.940,NO ALCANZÓ VACANTE,FAUA
Postulante 253,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 254,ORDINARIO,5.788,NO ALCANZÓ VACANTE,FAUA
Postulante 255,ORDINARIO,8.767,NO ALCANZÓ VACANTE,FAUA
Postulante 256,ORDINARIO,7.357,NO ALCANZÓ VACANTE,FAUA
Postulante 257,ORDINARIO,6.050,NO ALCANZÓ VACANTE,FAUA
Postulante 258,ORDINARIO,12.923,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 259,ORDINARIO,13.163,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 260,ORDINARIO,4.125,NO ALCANZÓ VACANTE,FAUA
Postulante 261,ORDINARIO,7.149,NO ALCANZÓ VACANTE,FAUA
Postulante 262,ORDINARIO,5.782,NO ALCANZÓ VACANTE,FAUA
Postulante 263,EXTRAORDINARIO 1 - VÍCTIMA DEL TERRORISMO (iniciar estudios),4.812,NO ALCANZÓ VACANTE,FAUA
Postulante 264,ORDINARIO,7.830,NO ALCANZÓ VACANTE,FAUA
Postulante 265,EXTRAORDINARIO 1 - DOS PRIMEROS ALUMNOS,7.371,NO ALCANZÓ VACANTE,FAUA
Postulante 266,EXTRAORDINARIO 1 - VÍCTIMA DEL TERRORISMO (iniciar estudios),4.761,NO ALCANZÓ VACANTE,FAUA
Postulante 267,ORDINARIO,3.539,NO ALCANZÓ VACANTE,FAUA
Postulante 268,ORDINARIO,6.760,NO ALCANZÓ VACANTE,FAUA
Postulante 269,ORDINARIO,6.675,NO ALCANZÓ VACANTE,FAUA
Postulante 270,ORDINARIO,5.115,NO ALCANZÓ VACANTE,FAUA
Postulante 271,ORDINARIO,6.797,NO ALCANZÓ VACANTE,FAUA
Postulante 272,ORDINARIO,7.050,NO ALCANZÓ VACANTE,FAUA
Postulante 273,ORDINARIO,4.459,NO ALCANZÓ VACANTE,FAUA
Postulante 274,ORDINARIO,7.484,NO ALCANZÓ VACANTE,FAUA
Postulante 275,ORDINARIO,2.711,NO ALCANZÓ VACANTE,FAUA
Postulante 276,ORDINARIO,3.406,NO ALCANZÓ VACANTE,FAUA
Postulante 277,ORDINARIO,4.721,NO ALCANZÓ VACANTE,FAUA
Postulante 278,ORDINARIO,11.536,NO ALCANZÓ VACANTE,FAUA
Postulante 279,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 280,ORDINARIO,2.622,NO ALCANZÓ VACANTE,FAUA
Postulante 281,ORDINARIO,3.825,NO ALCANZÓ VACANTE,FAUA
Postulante 282,ORDINARIO,11.843,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 283,ORDINARIO,4.614,NO ALCANZÓ VACANTE,FAUA
Postulante 284,ORDINARIO,7.727,NO ALCANZÓ VACANTE,FAUA
Postulante 285,ORDINARIO,3.888,NO ALCANZÓ VACANTE,FAUA
Postulante 286,ORDINARIO,5.976,NO ALCANZÓ VACANTE,FAUA
Postulante 287,ORDINARIO,7.451,NO ALCANZÓ VACANTE,FAUA
Postulante 288,ORDINARIO,4.927,NO ALCANZÓ VACANTE,FAUA
Postulante 289,ORDINARIO,3.571,NO ALCANZÓ VACANTE,FAUA
Postulante 290,ORDINARIO,5.091,NO ALCANZÓ VACANTE,FAUA
Postulante 291,ORDINARIO,11.050,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 292,ORDINARIO,3.146,NO ALCANZÓ VACANTE,FAUA
Postulante 293,ORDINARIO,9.393,NO ALCANZÓ VACANTE,FAUA
Postulante 294,ORDINARIO,5.219,NO ALCANZÓ VACANTE,FAUA
Postulante 295,ORDINARIO,11.398,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 296,ORDINARIO,5.845,NO ALCANZÓ VACANTE,FAUA
Postulante 297,ORDINARIO,7.365,NO ALCANZÓ VACANTE,FAUA
Postulante 298,ORDINARIO,6.677,NO ALCANZÓ VACANTE,FAUA
Postulante 299,ORDINARIO,6.169,NO ALCANZÓ VACANTE,FAUA
Postulante 300,ORDINARIO,6.667,NO ALCANZÓ VACANTE,FAUA
Postulante 301,ORDINARIO,11.779,NO ALCANZÓ VACANTE,FAUA
Postulante 302,EXTRAORDINARIO 1 - DOS PRIMEROS ALUMNOS,6.882,NO ALCANZÓ VACANTE,FAUA
Postulante 303,ORDINARIO,7.339,NO ALCANZÓ VACANTE,FAUA
Postulante 304,ORDINARIO,6.841,NO ALCANZÓ VACANTE,FAUA
Postulante 305,ORDINARIO,12.797,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 306,ORDINARIO,6.487,NO ALCANZÓ VACANTE,FAUA
Postulante 307,ORDINARIO,6.222,NO ALCANZÓ VACANTE,FAUA
Postulante 308,ORDINARIO,5.147,NO ALCANZÓ VACANTE,FAUA
Postulante 309,ORDINARIO,12.161,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 310,ORDINARIO,4.977,NO ALCANZÓ VACANTE,FAUA
Postulante 311,ORDINARIO,9.770,NO ALCANZÓ VACANTE,FAUA
Postulante 312,ORDINARIO,13.718,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 313,ORDINARIO,8.954,NO ALCANZÓ VACANTE,FAUA
Postulante 314,ORDINARIO,5.678,NO ALCANZÓ VACANTE,FAUA
Postulante 315,ORDINARIO,0.000,NO ALCANZÓ VACANTE,FAUA
Postulante 316,ORDINARIO,6.609,NO ALCANZÓ VACANTE,FAUA
Postulante 317,ORDINARIO,2.755,NO ALCANZÓ VACANTE,FAUA
Postulante 318,ORDINARIO,3.759,NO ALCANZÓ VACANTE,FAUA
Postulante 319,ORDINARIO,8.184,NO ALCANZÓ VACANTE,FAUA
Postulante 320,ORDINARIO,10.451,ALCANZÓ VACANTE A: ARQUITECTURA,FAUA
Postulante 321,ORDINARIO,9.317,NO ALCANZÓ VACANTE,FAUA
Postulante 322,ORDINARIO,3.849,NO ALCANZÓ VACANTE,FAUA
Postulante 323,ORDINARIO,6.324,NO ALCANZÓ VACANTE,FAUA
Postulante 324,ORDINARIO,3.063,NO ALCANZÓ VACANTE,FAUA
Postulante 325,ORDINARIO,9.249,NO ALCANZÓ VACANTE,FAUA
Postulante 326,ORDINARIO,8.339,NO ALCANZÓ VACANTE,FAUA
Postulante 327,ORDINARIO,3.108,NO ALCANZÓ VACANTE,FAUA
Postulante 328,ORDINARIO,5.924,NO ALCANZÓ VACANTE,FAUA
Postulante 329,ORDINARIO,4.719,NO ALCANZÓ VACANTE,FAUA
Postulante 330,ORDINARIO,2.471,NO ALCANZÓ VACANTE,FAUA
Postulante 331,EXTRAORDINARIO 1 - VÍCTIMA DEL TERRORISMO (iniciar estudios),5.412,NO ALCANZÓ VACANTE,FAUA
Postulante 332,ORDINARIO,2.767,NO ALCANZÓ VACANTE,FAUA
Postulante 333,ORDINARIO,4.076,NO ALCANZÓ VACANTE,FAUA
Postulante 334,ORDINARIO,4.472,NO ALCANZÓ VACANTE,FAUA
